store_id,sku_id,on_hand,lead_time_days,projected_avg_daily_sales,days_of_cover,risk_level
1,100085,10,2,12.13682031,0.823939034,High (Stockout Imminent)
1,100065,10,3,11.92414695,0.838634415,High (Stockout Imminent)
1,100044,10,4,11.86258335,0.842986701,High (Stockout Imminent)
1,100079,11,3,11.96576301,0.919289475,High (Stockout Imminent)
9,100025,10,4,10.76764522,0.928708162,High (Stockout Imminent)
1,100004,11,4,11.8266283,0.930104483,High (Stockout Imminent)
9,100021,10,5,10.73111637,0.931869496,High (Stockout Imminent)
10,100114,10,2,10.70597171,0.934058138,High (Stockout Imminent)
9,100118,10,2,10.63160693,0.940591584,High (Stockout Imminent)
19,100017,10,5,10.59683364,0.943678116,High (Stockout Imminent)
6,100033,10,3,10.46393447,0.955663477,High (Stockout Imminent)
19,100075,10,5,10.3935843,0.962131995,High (Stockout Imminent)
4,100033,10,3,10.37066901,0.964257946,High (Stockout Imminent)
13,100054,10,3,10.36090916,0.965166265,High (Stockout Imminent)
13,100088,10,2,10.35321586,0.965883464,High (Stockout Imminent)
17,100072,10,3,10.31497859,0.96946396,High (Stockout Imminent)
13,100025,10,3,10.29320985,0.971514245,High (Stockout Imminent)
17,100015,10,4,10.23072423,0.977447908,High (Stockout Imminent)
18,100056,10,2,10.22681986,0.977821076,High (Stockout Imminent)
17,100118,10,5,10.22531615,0.977964872,High (Stockout Imminent)
3,100045,10,4,10.20121728,0.98027517,High (Stockout Imminent)
6,100051,10,4,10.17668619,0.982638141,High (Stockout Imminent)
17,100114,10,3,10.15473258,0.984762516,High (Stockout Imminent)
6,100071,10,3,10.13949947,0.986241977,High (Stockout Imminent)
13,100091,10,3,10.13542732,0.986638223,High (Stockout Imminent)
6,100041,10,2,10.13354156,0.986821827,High (Stockout Imminent)
7,100075,10,4,10.11068898,0.989052281,High (Stockout Imminent)
7,100003,10,2,10.1092999,0.989188183,High (Stockout Imminent)
7,100114,10,5,10.03354468,0.996656747,High (Stockout Imminent)
14,100020,10,2,9.936036613,1.006437515,High (Stockout Imminent)
1,100115,12,4,11.90442953,1.008028144,High (Stockout Imminent)
1,100024,12,5,11.89004634,1.009247538,High (Stockout Imminent)
1,100012,12,3,11.87648448,1.010400007,High (Stockout Imminent)
10,100064,11,3,10.85538627,1.013321841,High (Stockout Imminent)
9,100000,11,5,10.82128185,1.016515432,High (Stockout Imminent)
10,100061,11,5,10.82106302,1.016535989,High (Stockout Imminent)
1,100113,12,5,11.78702688,1.018068434,High (Stockout Imminent)
9,100028,11,2,10.7636174,1.02196126,High (Stockout Imminent)
10,100090,11,4,10.67229512,1.03070613,High (Stockout Imminent)
9,100069,11,2,10.64994999,1.0328687,High (Stockout Imminent)
17,100060,11,5,10.62627533,1.035169865,High (Stockout Imminent)
9,100001,11,3,10.59948598,1.037786174,High (Stockout Imminent)
6,100060,11,4,10.54579582,1.043069692,High (Stockout Imminent)
3,100030,11,4,10.51010847,1.046611463,High (Stockout Imminent)
1,100098,13,4,12.38435076,1.04971187,High (Stockout Imminent)
19,100113,11,5,10.46356814,1.051266628,High (Stockout Imminent)
17,100057,11,4,10.43720258,1.053922247,High (Stockout Imminent)
15,100040,10,5,9.469271742,1.056047421,High (Stockout Imminent)
19,100029,11,4,10.35170738,1.062626637,High (Stockout Imminent)
13,100087,11,4,10.35038263,1.062762643,High (Stockout Imminent)
6,100064,11,2,10.2725484,1.070815105,High (Stockout Imminent)
17,100018,11,5,10.21242164,1.077119648,High (Stockout Imminent)
7,100098,11,3,10.18590192,1.079924006,High (Stockout Imminent)
13,100070,11,3,10.18069271,1.080476576,High (Stockout Imminent)
1,100102,13,3,12.01578592,1.081910088,High (Stockout Imminent)
13,100051,11,2,10.16100573,1.082570002,High (Stockout Imminent)
11,100027,10,2,9.19896686,1.087078598,High (Stockout Imminent)
18,100090,11,4,10.11085521,1.087939623,High (Stockout Imminent)
9,100042,12,3,11.00195036,1.090715701,High (Stockout Imminent)
12,100012,11,2,10.04377129,1.095206142,High (Stockout Imminent)
4,100110,11,5,10.03833442,1.095799316,High (Stockout Imminent)
4,100083,11,2,9.993054958,1.100764486,High (Stockout Imminent)
10,100049,12,2,10.8870927,1.102222634,High (Stockout Imminent)
10,100085,12,2,10.87579291,1.103367828,High (Stockout Imminent)
12,100023,11,2,9.969473754,1.103368169,High (Stockout Imminent)
9,100049,12,5,10.80556122,1.110539264,High (Stockout Imminent)
14,100058,11,4,9.880670107,1.113284816,High (Stockout Imminent)
14,100107,11,5,9.829184321,1.11911626,High (Stockout Imminent)
11,100053,10,3,8.901577717,1.123396359,High (Stockout Imminent)
1,100068,14,3,12.23592816,1.144171477,High (Stockout Imminent)
13,100035,12,4,10.47236519,1.145872951,High (Stockout Imminent)
19,100083,12,2,10.43709286,1.149745448,High (Stockout Imminent)
1,100086,14,3,12.14809961,1.152443629,High (Stockout Imminent)
18,100000,12,3,10.37756955,1.156340118,High (Stockout Imminent)
1,100099,14,2,12.0956089,1.157444831,High (Stockout Imminent)
6,100062,12,3,10.35452429,1.158913694,High (Stockout Imminent)
15,100091,11,3,9.468399326,1.161759197,High (Stockout Imminent)
1,100049,14,3,12.04720627,1.162095152,High (Stockout Imminent)
19,100099,12,2,10.31847121,1.162962977,High (Stockout Imminent)
16,100081,10,4,8.598686254,1.162968354,High (Stockout Imminent)
1,100060,14,5,12.03615607,1.163162052,High (Stockout Imminent)
16,100061,10,4,8.537993812,1.17123533,High (Stockout Imminent)
16,100055,10,5,8.537202914,1.171343835,High (Stockout Imminent)
18,100016,12,3,10.21187555,1.175102452,High (Stockout Imminent)
17,100092,12,2,10.20880362,1.175456052,High (Stockout Imminent)
15,100119,11,5,9.355418851,1.175789152,High (Stockout Imminent)
15,100097,11,4,9.35453118,1.175900725,High (Stockout Imminent)
20,100003,10,4,8.475420036,1.179882526,High (Stockout Imminent)
10,100088,13,4,11.01680869,1.180015045,High (Stockout Imminent)
18,100001,12,3,10.16017157,1.181082418,High (Stockout Imminent)
16,100048,10,3,8.454047716,1.182865337,High (Stockout Imminent)
6,100031,12,5,10.14026885,1.183400576,High (Stockout Imminent)
12,100064,12,2,10.11339988,1.186544599,High (Stockout Imminent)
13,100067,12,3,10.10065007,1.188042345,High (Stockout Imminent)
17,100013,12,3,10.0926346,1.188985877,High (Stockout Imminent)
13,100046,12,5,10.07364329,1.191227409,High (Stockout Imminent)
7,100056,12,5,10.04108923,1.19508947,High (Stockout Imminent)
4,100041,12,5,10.03720764,1.195551635,High (Stockout Imminent)
6,100097,12,2,10.0371514,1.195558334,High (Stockout Imminent)
10,100048,13,3,10.85973243,1.1970829,High (Stockout Imminent)
12,100102,12,2,10.02363978,1.197169916,High (Stockout Imminent)
7,100099,12,5,10.00176242,1.199788547,High (Stockout Imminent)
4,100028,12,2,10.00113173,1.199864208,High (Stockout Imminent)
4,100001,12,3,9.984523131,1.201860103,High (Stockout Imminent)
10,100036,13,4,10.81000971,1.202589113,High (Stockout Imminent)
2,100058,11,2,9.146435591,1.20265429,High (Stockout Imminent)
10,100108,13,3,10.80118595,1.203571539,High (Stockout Imminent)
11,100071,11,4,9.109289472,1.207558508,High (Stockout Imminent)
2,100085,11,4,9.093191093,1.209696342,High (Stockout Imminent)
9,100024,13,5,10.73848164,1.210599454,High (Stockout Imminent)
11,100086,11,5,9.032923131,1.217767476,High (Stockout Imminent)
11,100004,11,4,8.995626495,1.222816444,High (Stockout Imminent)
11,100067,11,4,8.94612949,1.229582023,High (Stockout Imminent)
1,100077,15,3,12.18370803,1.231152287,High (Stockout Imminent)
5,100034,11,3,8.818265424,1.247410854,High (Stockout Imminent)
19,100073,13,5,10.40041064,1.249950647,High (Stockout Imminent)
16,100088,11,4,8.748400602,1.25737269,High (Stockout Imminent)
20,100006,11,3,8.69800369,1.264658006,High (Stockout Imminent)
4,100054,13,2,10.25293633,1.267929458,High (Stockout Imminent)
15,100079,12,2,9.444941344,1.270521389,High (Stockout Imminent)
20,100011,11,3,8.642401875,1.272794318,High (Stockout Imminent)
15,100116,12,3,9.410678332,1.275147187,High (Stockout Imminent)
9,100086,14,5,10.97350616,1.275800077,High (Stockout Imminent)
20,100077,11,2,8.616079098,1.276682801,High (Stockout Imminent)
20,100110,11,4,8.607534898,1.27795009,High (Stockout Imminent)
18,100047,13,3,10.16572671,1.278806757,High (Stockout Imminent)
15,100046,12,2,9.372869759,1.280290915,High (Stockout Imminent)
4,100064,13,4,10.13770627,1.282341355,High (Stockout Imminent)
20,100085,11,3,8.574574451,1.282862498,High (Stockout Imminent)
7,100024,13,3,10.12962794,1.283364017,High (Stockout Imminent)
16,100078,11,2,8.566827148,1.284022639,High (Stockout Imminent)
20,100067,11,4,8.557407142,1.285436093,High (Stockout Imminent)
6,100078,13,5,10.10233733,1.286830916,High (Stockout Imminent)
7,100008,13,4,10.09593747,1.287646644,High (Stockout Imminent)
9,100052,14,5,10.85933419,1.289213478,High (Stockout Imminent)
12,100042,13,5,10.07263523,1.290625512,High (Stockout Imminent)
12,100011,13,2,10.07125645,1.290802201,High (Stockout Imminent)
16,100009,11,3,8.521589238,1.290839032,High (Stockout Imminent)
7,100103,13,4,10.06774398,1.291252541,High (Stockout Imminent)
4,100022,13,3,10.03936157,1.294903058,High (Stockout Imminent)
10,100102,14,5,10.78272384,1.298373232,High (Stockout Imminent)
12,100043,13,4,9.972142427,1.303631601,High (Stockout Imminent)
12,100107,13,5,9.969621867,1.303961191,High (Stockout Imminent)
2,100109,12,4,9.13712405,1.313323529,High (Stockout Imminent)
14,100004,13,4,9.854665257,1.319172155,High (Stockout Imminent)
2,100016,12,4,9.090977742,1.319990032,High (Stockout Imminent)
8,100087,11,5,8.304173438,1.324635147,High (Stockout Imminent)
11,100036,12,3,9.026382514,1.329436237,High (Stockout Imminent)
18,100038,14,2,10.52317079,1.33039749,High (Stockout Imminent)
19,100085,14,4,10.51787241,1.331067677,High (Stockout Imminent)
8,100058,11,5,8.231618031,1.336310791,High (Stockout Imminent)
1,100027,16,5,11.9518293,1.338707206,High (Stockout Imminent)
19,100046,14,5,10.41703386,1.343952625,High (Stockout Imminent)
19,100004,14,2,10.3993735,1.346234944,High (Stockout Imminent)
8,100094,11,5,8.144164743,1.350660301,High (Stockout Imminent)
19,100050,14,4,10.34383588,1.353463083,High (Stockout Imminent)
18,100074,14,4,10.33995367,1.35397125,High (Stockout Imminent)
7,100057,14,3,10.32999639,1.355276368,High (Stockout Imminent)
7,100082,14,2,10.3146598,1.357291493,High (Stockout Imminent)
15,100011,13,5,9.545765491,1.361860399,High (Stockout Imminent)
18,100103,14,5,10.27142263,1.363004961,High (Stockout Imminent)
5,100041,12,4,8.798841058,1.363815975,High (Stockout Imminent)
3,100027,14,4,10.2604777,1.364458888,High (Stockout Imminent)
6,100017,14,2,10.24901274,1.365985228,High (Stockout Imminent)
5,100073,12,4,8.768010795,1.368611454,High (Stockout Imminent)
7,100058,14,3,10.2285085,1.368723505,High (Stockout Imminent)
10,100080,15,2,10.9409902,1.370991083,High (Stockout Imminent)
3,100112,14,2,10.197321,1.37290961,High (Stockout Imminent)
17,100053,14,2,10.18658845,1.374356103,High (Stockout Imminent)
15,100024,13,5,9.43715877,1.377533251,High (Stockout Imminent)
15,100044,13,3,9.434500883,1.377921329,High (Stockout Imminent)
6,100009,14,3,10.15717979,1.378335354,High (Stockout Imminent)
20,100057,12,5,8.701166582,1.379125418,High (Stockout Imminent)
7,100078,14,2,10.1296574,1.382080306,High (Stockout Imminent)
1,100088,17,3,12.2973349,1.382413355,High (Stockout Imminent)
15,100113,13,5,9.399848419,1.383001025,High (Stockout Imminent)
7,100083,14,5,10.10153542,1.385927922,High (Stockout Imminent)
10,100056,15,3,10.80214961,1.388612502,High (Stockout Imminent)
16,100020,12,4,8.629718568,1.390543609,High (Stockout Imminent)
16,100077,12,5,8.623932593,1.391476553,High (Stockout Imminent)
